id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
3550084,(2010 US7),0.4411182,0.9863702813,132493.814215952,71313590.28613277,Earth,False,18.9,True
3463079,(2009 LQ),0.1214940408,0.2716689341,58390.7906136456,11057463.909462044,Earth,False,21.7,True
3761483,(2016 TU93),0.0146067964,0.0326617897,37532.4167371079,3673073.973905997,Earth,False,26.3,False
2489486,489486 (2007 GS3),0.3455850738,0.7727517171,31037.558290591,4844979.8403503,Earth,False,19.43,True
3824091,(2018 JF2),0.040230458,0.0899580388,29615.9652923482,56037586.19576566,Earth,False,24.1,False
3837956,(2019 BC1),0.2315021222,0.5176544822,67725.4852067105,58532502.08464752,Earth,False,20.3,True
54017565,(2020 ME1),0.0167708462,0.0375007522,39326.5496973337,759067.117152861,Earth,False,26.0,False
2331876,331876 (2004 CL),0.2170475943,0.4853331752,66011.1265848128,6955640.77959969,Earth,False,20.44,True
2359369,359369 (2009 YG),0.5553349116,1.2417666126,114996.474599035,58965439.45737132,Earth,False,18.4,True
2434677,434677 (2006 BZ7),0.8483107619,1.8968805296,140348.9086649723,50937402.77128754,Earth,False,17.48,True
3788118,(2017 UZ7),0.1272198785,0.2844722965,70234.3326041791,26403559.1496994,Earth,False,21.6,True
3154508,(2003 KW16),0.2538370294,0.5675968529,71156.5267936021,30942887.892522182,Earth,False,20.1,False
3654982,(2013 XN24),0.3669061375,0.8204270649,55168.2553344808,37710091.26064589,Earth,False,19.3,True
54051293,(2020 QY2),0.0015295194,0.0034201092,68111.1235044576,66523.734343719,Earth,False,31.2,False
3789098,(2017 VJ1),0.1272198785,0.2844722965,61098.6312995785,40375201.26531488,Earth,False,21.6,True
3713995,(2015 FJ35),0.040230458,0.0899580388,43805.904748668,30953579.66725087,Earth,False,24.1,False
54016410,(2020 FM6),0.1108038821,0.2477650126,40467.0379397976,48255490.80152779,Earth,False,21.9,True
3762886,(2016 UF101),0.1160259082,0.2594418179,56570.4760710406,36727732.46283808,Earth,False,21.8,True
3581669,(2011 TX8),0.1108038821,0.2477650126,76375.0743155075,16191854.86160755,Earth,False,21.9,True
3689016,(2014 RW18),0.0175612318,0.0392681082,26382.0398548887,2414857.631324981,Earth,False,25.9,False
3721906,(2015 MV53),0.1394938229,0.3119176705,12289.4272785152,53725438.67715656,Earth,False,21.4,False
2419880,419880 (2011 AH37),0.3051792326,0.6824015094,101314.3834509808,73624669.76570879,Earth,False,19.7,True
3838844,(2019 DW),0.0105816886,0.023661375,34858.7456753992,20277492.698718864,Earth,False,27.0,False
3726810,(2015 RR2),0.0802703167,0.1794898848,35245.8618029894,22625501.504568823,Earth,False,22.6,False
3844016,(2019 SY2),0.0127219879,0.0284472297,45002.9095667057,1274842.889209408,Earth,False,26.6,False
2264357,264357 (2000 AZ93),0.1623883902,0.3631114793,30217.3268660882,59998547.10356837,Earth,False,21.07,True
2523796,523796 (2016 LE51),0.2658,0.5943468684,105584.5297506931,55332561.42882859,Earth,False,20.0,False
2162474,162474 (2000 LB16),0.5553349116,1.2417666126,105697.3028497571,12988679.750241363,Earth,False,18.4,True
3289739,(2005 RB3),0.0802703167,0.1794898848,99599.2160121752,68038863.48593174,Earth,False,22.6,False
2378358,378358 (2007 LD),0.3669061375,0.8204270649,66655.4654958113,44506212.94422569,Earth,False,19.3,True
3557082,(2011 BF59),0.3669061375,0.8204270649,68551.7895267674,58010769.59468373,Earth,False,19.3,False
3012398,(1994 CJ1),0.1394938229,0.3119176705,55461.8169857866,50154402.91209313,Earth,False,21.4,True
3824967,(2018 JD5),0.4619074603,1.0328564805,75192.0995578043,71955223.62884775,Earth,False,18.8,True
3092506,(2001 WJ4),0.0088014652,0.0196806745,19341.0812094288,789237.491981916,Earth,False,27.4,False
54016489,(2020 GA2),0.1529519353,0.3420109247,88909.5152260044,3282430.192918809,Earth,False,21.2,True
3137721,(2002 SQ41),0.2538370294,0.5675968529,90954.6265417662,12273165.360177344,Earth,False,20.1,True
54245819,(2022 CQ3),0.1382149359,0.3090579921,60063.0938421001,47976957.92324644,Earth,False,21.42,True
2452334,452334 (2001 LB),0.1677084622,0.3750075218,40893.8242062985,40940821.43199843,Earth,False,21.0,False
3578914,(2011 SD25),0.1214940408,0.2716689341,55778.8062268282,58723388.44317496,Earth,False,21.7,False
3740926,(2016 BV14),0.1214940408,0.2716689341,119621.1808197428,68143820.5736148,Earth,False,21.7,True
3757288,(2016 PN38),0.1529519353,0.3420109247,33814.5432322875,11864758.492664017,Earth,False,21.2,True
3370504,(2007 EN26),0.0840533402,0.1879489824,41009.3778679538,26519768.151415803,Earth,False,22.5,False
54104843,(2021 AL2),0.0848310762,0.189688053,35436.0317667801,16768021.349010788,Earth,False,22.48,False
3102719,(2001 YB5),0.1756123185,0.3926810818,110118.2375889868,832144.928658511,Earth,False,20.9,True
3843705,(2019 QG6),0.0192555078,0.0430566244,16159.7946506231,7112559.640242176,Earth,False,25.7,False
3756758,(2016 OK1),0.2658,0.5943468684,75172.5550118963,34258782.051855326,Earth,False,20.0,True
54099949,(2020 XW4),0.1529519353,0.3420109247,64393.9283164601,71983105.30586366,Earth,False,21.2,False
3324629,(2006 DS62),0.0121494041,0.0271668934,34927.379403373,4748608.189386311,Earth,False,26.7,False
3410385,(2008 JR14),0.02658,0.0594346868,25143.1932271261,6603909.528889256,Earth,False,25.0,False
2199145,199145 (2005 YY128),0.6033300776,1.3490870665,133457.2050488324,61162599.14167681,Earth,False,18.22,True
54051089,(2020 PM4),0.1108038821,0.2477650126,38813.3869638805,15213291.541279083,Earth,False,21.9,True
3159889,(2003 RB5),0.1529519353,0.3420109247,91894.1506801729,4190948.738716727,Earth,False,21.2,True
2455176,455176 (1999 VF22),0.1899131235,0.4246586539,133216.4743165159,55023720.8747931,Earth,False,20.73,True
54054567,(2020 SG3),0.0253837029,0.0567596853,62804.5143214774,62081339.096580565,Earth,False,25.1,False
2441641,441641 (2008 WZ13),0.5064714588,1.1325046106,37770.2002608908,21999743.96653144,Earth,False,18.6,True
3766075,(2016 YZ),0.1394938229,0.3119176705,41143.3132952264,23502143.42207162,Earth,False,21.4,True
3666427,(2014 FY),0.2783267681,0.6223575734,51048.9127283623,59176250.71132472,Earth,False,19.9,False
54235430,(2022 AK),0.1043650238,0.2333672878,101121.927533689,53174033.85359253,Earth,False,22.03,True
3776121,(2017 MS7),0.0880146521,0.1968067451,72308.2776547349,13203955.184153004,Earth,False,22.4,False
54205444,(2021 TD7),0.0123752784,0.0276719637,28651.3966888637,74028394.8033228,Earth,False,26.66,False
3559596,(2011 EM40),0.0066765941,0.0149293183,31827.0941114382,69331066.51980443,Earth,False,28.0,False
54202335,(2021 SP4),0.1716148941,0.3837425691,32471.0071093881,22053857.585172497,Earth,False,20.95,True
3989343,(2020 BY14),0.0334622374,0.0748238376,42031.1987677897,12839372.803219156,Earth,False,24.5,False
2163243,163243 (2002 FB3),1.3018321019,2.9109850751,93521.5871018681,63490070.61338085,Earth,False,16.55,True
2141527,141527 (2002 FG7),0.4451998164,0.9954970531,43312.5950520125,38781504.204405576,Earth,False,18.88,True
3648761,(2013 SL30),0.3602093458,0.8054525833,60402.9294117198,71618633.25335895,Earth,False,19.34,False
54189755,(2021 NM39),0.2315021222,0.5176544822,27394.5535010013,21825059.565957736,Earth,False,20.3,False
3824115,(2018 JK3),0.1214940408,0.2716689341,75091.3473409787,26385497.061910488,Earth,False,21.7,True
3843612,(2019 QY1),0.1838886721,0.411187571,86036.4021255696,55902963.04263308,Earth,False,20.8,True
3180153,(2004 HG12),0.0880146521,0.1968067451,55415.5964501569,11743810.97841536,Earth,False,22.4,True
3338136,(2006 PY17),0.3841978911,0.8590926012,48949.5682313161,38151612.11035669,Earth,False,19.2,True
3729275,(2015 TX24),0.1283970296,0.2871044863,119024.1219405647,11187563.3576439,Earth,False,21.58,True
3781388,(2017 RV1),0.2538370294,0.5675968529,83852.2988828078,56996118.944732815,Earth,False,20.1,True
3825241,(2018 LV5),0.1272198785,0.2844722965,41337.4023230087,34784630.457936,Earth,False,21.6,False
54110064,(2021 CC1),0.0167708462,0.0375007522,32128.573214149,68676288.17681022,Earth,False,26.0,False
3671127,(2014 JR55),0.3669061375,0.8204270649,46095.3450432299,51430291.96912703,Earth,False,19.3,False
2218017,218017 (2001 XV266),0.3195618867,0.7145621017,24695.5590459533,70743231.71163547,Earth,False,19.6,False
54148940,(2010 NT81),0.1344481952,0.3006353038,49866.2894035112,43726629.04767424,Earth,False,21.48,True
3831077,(2018 SK3),0.4411182,0.9863702813,75135.3266050027,65445523.59794758,Earth,False,18.9,True
3789079,(2017 UR51),0.0840533402,0.1879489824,50228.3712446312,19078833.1680778,Earth,False,22.5,False
3572227,(2011 OA),0.1529519353,0.3420109247,33274.7709445751,8113138.426390683,Earth,False,21.2,True
3653189,(2013 UR3),1.0581688593,2.3661375011,51042.8554201678,54036596.30772113,Earth,False,17.0,False
2137108,137108 (1999 AN10),0.6524616298,1.4589485569,72718.2752960243,72787712.79716492,Earth,False,18.05,True
2525356,525356 (2005 BG14),0.4881518917,1.0915408131,89603.0979475414,11925594.545909908,Earth,False,18.68,True
54017040,(2020 JJ2),0.0384197891,0.0859092601,19501.6117117732,17709864.854882237,Earth,False,24.2,False
3120892,(2002 GJ8),0.3503926411,0.7835017643,81913.819731737,21815503.6429766,Earth,False,19.4,True
3092076,(2001 QL153),0.4212646106,0.9419763057,46680.2031726328,67871231.36830643,Earth,False,19.0,False
3713941,(2015 EO61),0.138852907,0.310484539,74632.8510976111,21713460.6320424,Earth,False,21.41,True
3971137,(2019 YL6),0.0231502122,0.0517654482,21705.0552495381,25868136.21066257,Earth,False,25.3,False
3141522,(2002 UK11),0.1113153296,0.2489086439,57466.8643968529,10161740.783640752,Earth,False,21.89,True
3742126,(2016 CB32),0.4836764882,1.0815335068,41595.8576932778,71168731.1680216,Earth,False,18.7,False
2382406,382406 (1996 AJ1),0.2210828104,0.4943561926,59782.2956206168,65346490.52607736,Earth,False,20.4,True
3782067,(2017 TK1),0.1677084622,0.3750075218,64925.4859305386,47606243.42090278,Earth,False,21.0,True
3878597,(2019 TQ3),0.0175612318,0.0392681082,65425.6568767396,3965378.502984234,Earth,False,25.9,False
54053719,(2020 RB),0.4212646106,0.9419763057,127871.6081083384,23366032.80235785,Earth,False,19.0,True
3559839,(2011 EL51),0.1108038821,0.2477650126,116966.0170765235,65255074.48407456,Earth,False,21.9,True
3582667,(2011 UR91),0.0366906138,0.0820427065,72542.6856989536,16789182.281877816,Earth,False,24.3,False
3835871,(2018 VA),0.0121494041,0.0271668934,16723.4315914776,44408084.46075577,Earth,False,26.7,False
2531277,531277 (2012 MM11),0.2315021222,0.5176544822,108993.8458508004,68946363.4497524,Earth,False,20.3,True
